MetricCategory,Metric,DASH_comp,Notes
ChannelUnit,FstTurb_Freq,1,
ChannelUnit,CU_Freq,1,
ChannelUnit,FstNT_Freq,1,
ChannelUnit,FstTurb_Pct,0,"only lin percentage, not air"
ChannelUnit,SlowWater_Freq,1,
ChannelUnit,FstNT_Pct,0,"only lin percentage, not air"
ChannelUnit,ChnlUnitTotal_Ct,0,
ChannelUnit,CU_Ct,0,
ChannelUnit,FstNT_Ct,0,
ChannelUnit,FstTurb_Ct,0,
ChannelUnit,SlowWater_Pct,0,
ChannelUnit,SlowWater_Ct,0,
Complexity,Bf_QIsland_Ct,0,
Complexity,BfWdth_CV,0,
Complexity,WetBraid,1,
Complexity,BfBraid,0,
Complexity,WetWDRat_CV,0,
Complexity,DpthWet_SD,0,
Complexity,BfWDRat_Avg,0,
Complexity,WetWDRat_Avg,0,
Complexity,BfWDRat_CV,0,
Complexity,DetrendElev_SD,0,
Complexity,DpthThlwg_UF_CV,1,
Complexity,WetWdth_CV,0,
Complexity,Sin,1,centerline
Cover,FishCovLW,1,
Cover,FishCovTotal,1,
Cover,FishCovNone,0,
Cover,FishCovSome,1,
Cover,FishCovTVeg,1,
Cover,UcutLgth_Pct,1,
Cover,UcutArea_Pct,0,
Cover,FishCovAqVeg,1,
Land Classification,DistPrin1,1,aging data and from other data set
Land Classification,NatPrin1,1,aging data and from other data set
Land Classification,NatPrin2,1,aging data and from other data set
Riparian,RipCovBigTree,1,
Riparian,RipCovWood,0,
Riparian,RipCovUstoryNone,0,
Riparian,RipCovUstory,0,
Riparian,RipCovCanNone,1,
Riparian,RipCovCanSome,1,
Riparian,RipCovGrndNone,1,
Riparian,RipCovGrnd,0,
Riparian,RipCovNonWood,0,
Riparian,RipCovConif,0,
SideChannel,WetSC_Pct,0,
Size,CUMDRAINAG,0,
Size,WetWdth_Avg,0,
Size,WetWdth_Int,0,
Size,MeanU,0,
Size,BfWdthInt,0,
Size,Q,1,
Size,DpthThlwg_Avg,1,
Size,BfWdth_Avg,0,
Size,DpthBf_Max,0,
Size,DpthBf_Avg,0,
Size,Ppt,0,
Size,Grad,1,
Size,PoolResidDpth,1,
Substrate,SubD16,1,
Substrate,SubD50,1,
Substrate,SubLT6,0,
Substrate,SubLT2,1,
Substrate,SubEstSandFines,1,
Substrate,SubEmbed_Avg,0,
Substrate,SubEmbed_SD,0,
Substrate,SubEstCbl,1,
Substrate,SubEstBldr,1,
Substrate,SubD84,1,
Substrate,SubEstGrvl,1,
Temperature,Elev_M,1,evaluate
Temperature,avg_aug_temp,1,which comp with norwest
Temperature,aug_temp,1,which comp with norwest
Temperature,SolarSummr_Avg,0,
WaterQuality,Alk,0,
WaterQuality,Cond,1,evaluate
WaterQuality,DriftBioMass,0,
Wood,LWVol_BfSlow,0,
Wood,LWVol_Bf,0,
Wood,LWVol_WetSlow,1,
Wood,LWVol_Wet,1,
Wood,LWFreq_Wet,1,
Wood,LWVol_WetFstTurb,1,
Wood,LWVol_WetFstNT,1,
Wood,LWVol_BfFstNT,0,
Wood,LWFreq_Bf,0,
